name,description,field,start_date,stage,business_registered,tax_code,status,website,fanpage,youtube,document_url,avatar_url,mentor_id,lecturer_id
VANLANGGO,"Ứng Dụng Quản Lý Giao Hàng Của Các Quán Ăn, Cửa Hàng Xung Quanh Trường Văn Lang ",,,,,,,,,,,,,
VIVU 11 HOME,Your Second Family,,,,,,,,,,,,,
CHÍN,"Nền tảng kết nối đôi bạn bè cùng tiến ""Hello buddy""/App Hello Buddy",,,,,,,,,,,,,
TEA SPILLERS,Trà lá vối dạng túi lọc,,,,,,,,,,,,,
LINOR,"Cho phép người thuê bất động sản được ký hợp đồng và đặt cọc online 100%, tìm kiếm được “bạn cùng phòng”, các dịch vụ thiết yếu từ LinorService khác dành cho người thuê lẫn bên cho thuê như: Chuyển trọ, giặt ủi, vệ sinh, sửa chữa…",,,,,,,,,,,,,
A&T,Phát triển dự án chẩn đoán hư hỏng xe ô tô thông minh trên phần mềm Android và IOS,,,,,,,,,,,,,
APSARA,Làng Du Lịch Văn Hoá Khmer Nam bộ,,,,,,,,,,,,,
GẤM,Gấm xanh - Doanh nghiệp chuyên sản xuất và cung cấp vải tái chế,,,,,,,,,,,,,
DogSurvival,UNI GO,,,,,,,,,,,,,
SpS,Sport Social,,,,,,,,,,,,,
FINTEAM,DREAM’S HOUSE ,,,,,,,,,,,,,
Double Z,Bánh canh xứ Nẫu,,,,,,,,,,,,,
SỦI,GÓI SẢN PHẨM GIÁO DỤC TỪ CHẤT LIỆU DÂN GIAN FOSE,,,,,,,,,,,,,
H.E.C Team,H.E.C,,,,,,,,,,,,,
FTTF,BEE CAM,,,,,,,,,,,,,
PEB,PEB - Protect EnviroNment Brand,,,,,,,,,,,,,
HIV LÀ BẠN,Tăng cường sự chung tay giúp đỡ của Tổ chức xã hội cộng đồng trong phòng chống HIV/AIDS,,,,,,,,,,,,,
Những chú cún đáng yêu,Dự án dịch vụ giữ và chăm sóc thú cưng,,,,,,,,,,,,,
Nhóm K25 ĐB-LH1,SOS Travel,,,,,,,,,,,,,
52 HZ,"Dự án khởi nghiệp hướng về cộng đồng - ""Chance""",,,,,,,,,,,,,
Modecor,Modercor - Ứng dụng mua sắm nội thất AR thông minh,,,,,,,,,,,,,
5MExpress,Dự án lưu trữ và vận chuyển hàng hóa,,,,,,,,,,,,,
"LAT - ""Let's take a trip""",Du - foodtruck di động,,,,,,,,,,,,,
HEALEY - Ăn khỏe để sống khỏe,Ứng dụng thông minh dành cho người ăn chay - ANKHOE,,,,,,,,,,,,,
NEXT DOOR,YOUR FRIENDS FROM NEIGHORHOOD,,,,,,,,,,,,,
404,Dự án phát triển mô hình tiếng Anh giao tiếp,,,,,,,,,,,,,
GNOS,Healthy food restaurant,,,,,,,,,,,,,
Mộc,Dự án tái chế đũa sử dụng một lần -  Mộc Eco  ,,,,,,,,,,,,,
Builder Bees,Builder Tree: Quản lý quá trình chăm sóc cây.,,,,,,,,,,,,,
MÍT,Mạng xã hội tâm lý Storytelling,,,,,,,,,,,,,
Ra Khơi Để Tập Bơi ,Văn Lang Vision Studio ,,,,,,,,,,,,,
Sống xanh,Nghiên cứu sản xuất bộ sản phẩm phân bón hữu cơ và thuốc bảo vệ thực vật thảo mộc phục vụ nông nghiệp đô thị,,,,,,,,,,,,,
Tranh sinh học,Nghiên cứu tạo tranh sinh học giúp làm đẹp ngôi nhà và làm sạch môi trường sinh thái,,,,,,,,,,,,,
Xì trum ngáo ngơ,"Xây dựng ứng dụng Sổ tay sức khỏe giúp cho người dùng có thể tuân theo một lịch trình có sẵn cho việc ăn uống, dưỡng bệnh và điều trị (trước và sau Covid) – E-Healthcare",,,,,,,,,,,,,
Baby Shark,Ứng dụng BlockChain vào việc xây dựng căn cước điện tử,,,,,,,,,,,,,
HOMME,Ico Green.,,,,,,,,,,,,,
Sao-Mà-Đỡ-Được,Xây dựng Website quản lý hồ sơ điện tử bệnh nhân – EMR (Electronic Medical Record),,,,,,,,,,,,,
FantasticFour,Xây dựng ứng dụng để cộng đồng Văn Lang chung tay bảo vệ tài sản  - Van Lang House (Mobile App),,,,,,,,,,,,,
NFO,"NFO là ứng dụng Sàn TMĐT giao dịch thời trang cũ cho phép người dùng trao đổi, mua bán và đấu giá các sản phẩm thời trang cũ một cách tiện lợi.",,,,,,,,,,,,,
Clube Project ,Ứng dụng kết nối người thuê và cho thuê dịch vụ quần áo.,,,,,,,,,,,,,
3NT1,Ý tưởng của chúng tôi ra đời là một ý tưởng kinh doanh về sản phẩm đồ gia dụng được làm từ bã cà phê khi qua sử dụng,,,,,,,,,,,,,
Submarine,Mô hình kinh doanh rau sạch trên nền tảng website và áp dụng việc quản lý chất lượng rau bằng cách sử dụng camera giám sát quy trình.  ,,,,,,,,,,,,,
Fortis Fortuna ,-,,,,,,,,,,,,,
FiStar,-,,,,,,,,,,,,,
NFO,"NFO là ứng dụng Sàn TMĐT giao dịch thời trang cũ cho phép người dùng trao đổi, mua bán và đấu giá các sản phẩm thời trang cũ một cách tiện lợi.",,,,,,,,,,,,,
WEEZING,"Weezing là ứng dụng điện thoại (Mobile App) trên hai nền tảng IOS và Android. 
Weezing mang đến cho mọi người khả năng xây dựng cộng đồng, liên hệ chủ
phương tiện dễ dàng và thuận tiện thông qua (biển số, số máy phương tiện và ID 
người dùng) từ đó có thể biết tình trạng hiện tại của phương tiện mà mình gặp 
phải.",,,,,,,,,,,,,
3NT1,Ý tưởng của chúng tôi ra đời là một ý tưởng kinh doanh về sản phẩm đồ gia dụng được làm từ bã cà phê khi qua sử dụng,,,,,,,,,,,,,
Submarine,Mô hình kinh doanh rau sạch trên nền tảng website và áp dụng việc quản lý chất lượng rau bằng cách sử dụng camera giám sát quy trình.  ,,,,,,,,,,,,,
Trạng Nguyên Legend,Ý tưởng khởi nghiệp của nhóm là xây dựng công cụ trò chơi hoá cho các khóa học ở đại học để phù hợp với xu hướng học tập online và nhằm truyền cảm hứng cho việc học và thúc đẩy người học tích cực tham gia. ,,,,,,,,,,,,,
Meeting to Meeting,"Ý tưởng: Xây dựng ứng dụng “Meeting to Meeting” (MTM) - cung cấp giải pháp cho các doanh nghiệp/trường học có nhu cầu tổ chức, quản lý nội dung, tra cứu và theo dõi tiến độ thực hiện công việc trong các cuộc họp theo quy mô nhóm nhỏ/lớn. 
",,,,,,,,,,,,,
GRONDE,"Công ty GRONDE ra đời nhằm phát triển mạnh mẽ các sản phẩm từ thiên nhiên. Từ các mặt hàng thường dùng, chăm sóc da, sức khỏe, quần áo đều có thể được sản xuất tại GRONDE. ",,,,,,,,,,,,,
USHIP,"Thông qua các ứng dụng mạng xã hội để giao hàng và ăn uống tới tận tay cho sinh viên, giảng viên, cán bộ trong trường: 
",,,,,,,,,,,,,
Smart Home Design,Xây dựng ứng dụng điện thoại “Smart Home Design” - cung cấp giải pháp cho các cá nhân/doanh nghiệp/trường học có nhu cầu mua nội thất cho những căn hộ/tòa nhà vừa được xây dựng xong. ,,,,,,,,,,,,,
MyPet,"Tạo một ứng dụng/website về thú cưng trong đó tạo ra dịch vụ tìm kím thú cưng bằng các công nghệ AI, hoặc các thiết bị hỗ trợ.Từ đó tích hợp sàn thương mại điện tử lĩnh vực thú cưng để bán lẻ các sản phẩm về thú cưng và liên kết với các phòng khám thú y trên toàn quốc để hỗ trợ cho người dùng app/website.",,,,,,,,,,,,,
Sống Xanh,Bộ sản phẩm chăm sóc cây hữu cơ,,,,,,,,,,,,,
The Flour Station,"Tái chế bã bia thành thực phẩm chức 
năng - bột mì",,,,,,,,,,,,,
Minicar racing 2023,"Xe sử dụng động cơ đốt trong 2 kỳ được điều kiển bằng điện thoại Smartphone thông qua mang Wifi. Các đội tham gia thi sẽ thi đấu các vòng: Vòng Loại, tứ kết, bán kết, chung kết",,,,,,,,,,,,,
Minicar racing 2023,"Xe sử dụng động cơ đốt trong 2 kỳ được điều kiển bằng điện thoại Smartphone thông qua mang Wifi. Các đội tham gia thi sẽ thi đấu các vòng: Vòng Loại, tứ kết, bán kết, chung kết",,,,,,,,,,,,,
Minicar racing 2023,"Xe sử dụng động cơ đốt trong 2 kỳ được điều kiển bằng điện thoại Smartphone thông qua mang Wifi. Các đội tham gia thi sẽ thi đấu các vòng: Vòng Loại, tứ kết, bán kết, chung kết",,,,,,,,,,,,,
"cảm ứng ngăn ngừa tại nạn giao thông liên hoàn
","Thiết kế mô hình xe tự hành kết hợp với hệ thống cảm biến để tự động phát hiện, chuẩn đoán và ngăn ngừa tai nạn giao thông
",,,,,,,,,,,,,
Sequential light Alarming of  Fire Evacuation System(SAFES),"Hỏa hoạn xảy ra tại một điểm cụ thể bên trong tòa nhà, hệ thống điều khiển trung tâm phát hiện hỏa hoạn tại điểm tương ứng chuyển vị trí phát hiện hỏa hoạn, xác định hướng mũi tên của từng điểm trong hệ thống điều khiển trung tâm, phát tín hiệu từ nơi phát sinh hỏa hoạn, khi có tín hiệu, đèn LED sẽ bật, tắt, Đèn LED của mỗi điểm là bật, tắt, mọi người ở mỗi vị trí. Dẫn đến lối thoát nhanh nhất.",,,,,,,,,,,,,
"Máy sấy khô áo mưa, dù","Dùng để sấy khô áo mưa hoặc ô dù khi vào cty, trường học, trung tâm thương mại. Không cần phải phơi ngoài xe hay cất vào xe khi vẫn còn ướt",,,,,,,,,,,,,
Miếng thảm lót tích trữ năng lượng,"Năng lượng được tạo từ miếng lót đế giày sau khi hoạt động, miếng thảm sẽ tạo ra nguồn điện dữ trữ mà ta tạo ra bằng cách đi lại",,,,,,,,,,,,,
"Manage, monitor and control the car parking system based on IoT technology","Quản lý, giám sát và điều khiển hệ thống bãi đỗ xe trên nền tảng công nghệ IoT",,,,,,,,,,,,,
Áp dụng công nghệ 3D và trí tuệ nhân tạo vào mua sắm thời trang.,"- Điểm sáng giá nhất của ý tưởng đó là giúp người mua sắm online có thể tự tin hơn trong việc đưa ra quyết định mua hàng của mình . Giúp người tiêu dùng có thể bớt đi nỗi lo khi mua hàng không hợp kích cỡ ,hay không phù hợp với vóc dáng của họ . 
  - Cách thức làm ra sản phẩm : Sử dụng các kiến thức về lập trình cũng như đồ họa để tạo ra một trang web hoàn chỉnh nhất .
 - Công nghệ được sử dụng : Chúng tôi đã sử dụng công nghệ 3D vào trang web của mình để giúp người tiêu dùng có thể hình dung một cách trực quan nhất về sản phẩm , đồng thời kết hợp công nghệ trí tuệ nhân tạo AI để giúp đưa ra những phân tích về sản phẩm khi được thử lên người bạn từ đó đứa ra lời khuyên phù hợp nhất cho bạn.
",,,,,,,,,,,,,
QRCare,Quản lý và tối ưu hóa việc giao cơm từ thiện đến tận nhà các cụ già neo đơn ,,,,,,,,,,,,,
Ecoplas,Giải pháp bảo vệ môi trường từ việc tái chế lá chuối ,,,,,,,,,,,,,
Silver Meets Gold,App giao thức ăn dành riêng cho các tổ chức từ thiện ,,,,,,,,,,,,,
EL Power,"Một sự quan tâm đối với cộng đồng, đặc biệt là việc hỗ trợ tìm kiếm công việc cho người cao tuổi tại các quốc gia khu vực ASEAN, nâng cao chất lượng cuộc sống của mọi người là điều mà team hướng đến",,,,,,,,,,,,,
Urbox,Dự án lắp đặt hộp nhận đồ ăn từ thiện tại nhà các cụ già neo đơn nhằm bảo quản đồ ăn ,,,,,,,,,,,,,
Foodsaver,Dự án cung cấp nguyên liệu giá rẻ dành cho các tổ chức nấu ăn từ thiện ,,,,,,,,,,,,,
Medi-app,Phần mềm cấp cứu hoặc đặt lịch khám thông qua nền tảng mạng xã hội bằng giọng nói ,,,,,,,,,,,,,
Grand's Buddy,Phần mềm hỗ trợ dịch thuật và hướng dẫn bằng giọng nói cho người lớn tuổi sử dụng các thiết bị công nghệ trong đời sống hàng ngày để giao tiếp. ,,,,,,,,,,,,,
Ian exchanging letters app,Mạng xã hội để kết nối các lứa tuổi và xóa bỏ khoảng cách thế hệ cho những người sống cùng cộng đồng ,,,,,,,,,,,,,
GO apps,App đề cử và gợi ý các địa điểm và hoạt động thể chất và người lớn tuổi có thể tham gia tại khu vực sinh sống,,,,,,,,,,,,,
MediTimer,"App nhắc nhở uống thuốc và giờ hoạt động thể chất dành cho người lớn tuổi neo đơn, dưới sự hỗ trợ của người thân/con cái đang ở xa ",,,,,,,,,,,,,
Entrepreneur Worldwide,App kết nối các  nhà khởi nghiệp có các dự án vì sự phát triển bền vững của xã hội và môi trường. Từ đó phát triển hoạt động gọi vốn trên nên tảng ,,,,,,,,,,,,,
QA Community,Dự án xây dựng cộng đồng chia sẻ kiến thức kinh tế khởi nghiệp dành cho các bạn trẻ dựa trên biến động trên thế giới ,,,,,,,,,,,,,
Readee,Dự án rạp chiếu sách dành cho trẻ em,,,,,,,,,,,,,
WrapIt,Dự án cung cấp dụng cụ đựng thức ăn thân thiện với môi trường cho các quán ăn và phát triển ứng dụng giao hàng dành riêng cho người lớn tuổi và khuyết tật ,,,,,,,,,,,,,
Handheld,"Thiết bị cầm tay dành riêng cho người lớn tuổi nhằm đáp ứng các nhu cầu cơ bản của người lớn tuổi. Các ứng dụng bao gồm app đặt thức ăn, app trò chuyện trực tuyến ",,,,,,,,,,,,,
Takecarers,App định vị và hỗ trợ người lớn tuổi để tránh trường hợp đi lạc ,,,,,,,,,,,,,
WeCare,Dự án cộng đồng giúp hỗ trợ người cao tuổi sử dụng và tìm niềm vui từ các thiết bị điện tử thông qua các lớp học ngắn hạn ,,,,,,,,,,,,,
Green Savers,Dự án phối hợp các địa phương tạo cuộc thi vì môi trường thông qua việc thu nhặt rác thải nhựa ở môi trường sống ,,,,,,,,,,,,,
Supa - Older,Hệ thống hỗ trợ theo dõi nhu cầu của người lớn tuổi nhằm kịp thời cung cấp các chỉ dẫn đầy đủ để sử dụng các app thông dụng trong cuộc sống ,,,,,,,,,,,,,
E - lockers,Dự án lắp đặt tủ nhận thức ăn thông minh ở các hộ dân nhằm đảm bảo chát lượng và hình thức món ăn để giảm tình trạng sử dụng bao bì quá mức. Đưa rác thải bao bì về đồng dạng - Giấy gói nhôm ,,,,,,,,,,,,,
Job HUB,App cung cấp dịch vụ giới thiệu việc làm dựa trên những biến động mới nhất của thị trường lao động ,,,,,,,,,,,,,
Old - School Center,Dự án trường học do người cao tuổi đứng lớp để chia sẻ kinh nghiệm và lời khuyên cho các thế hệ sau từ kinh nghiệm và trải nghiệm của chính bản thân họ đúc kết ,,,,,,,,,,,,,
Smart way to be healthy,Đồng hồ thông minh giúp nhắc người dùng thực hiện các hoạt động thể chất phù hợp và sinh hoạt theo chế độ đã được thiết kế sẵn để đạt được kết quả sức khỏe tốt nhất ,,,,,,,,,,,,,
Cutdawatse,Dự án thu thập thức ăn thừa và chế biến thành phân bón hữu cơ ,,,,,,,,,,,,,
Papa Chatbot,Chatbot giúp gợi ý và hướng dẫn cụ thể cho người lớn tuổi các hoạt động cập nhật kiến thức công nghệ ,,,,,,,,,,,,,
Woat 2 Cuk,App quản lý thực phẩm lưu trữ trong tủ lạnh ,,,,,,,,,,,,,
Twopeat,Ứng dụng tầm soát bệnh tật và ra cảnh báo sức khỏe cho bệnh nhân tim mạch ,,,,,,,,,,,,,
Openmind,Dự án sức khỏe tâm lý dành cho người đi làm thông qua app trên điện thoại di dộng ,,,,,,,,,,,,,
TroiAi,Ứng dụng cá nhân hóa lộ trình học tập. Giúp việc học dễ dàng ở mọi thời điểm và nơi chốn ,,,,,,,,,,,,,
Soul & Mates,Ứng dụng dành cho người tự kỉ để hỗ trợ hòa nhập cộng đồng và trò chuyện đa hình thức với bác sĩ tâm lý ,,,,,,,,,,,,,
Raffit,"Mạng xã hội học tập, nơi hỗ trợ nhà trường lưu trữ thành tích học sinh, người học có nơi để trình bày kết quả học tập. Từ đó mang lại lợi ích thiết thực cho công cuộc lựa chọn môi trường học các cấp thật phù hợp => Mang lại tác động tích cực trong việc tuyển dụng người tài từ ghế nhà trường ",,,,,,,,,,,,,
Self-Healing Web,"Website dành cho những bệnh nhân tâm lý hoặc có xu hướng bị bệnh tâm lý, cung cấp các thông tin và nội dung chữa lành. Đồng thời ghi nhận các thông tin để bs dễ dàng đưa ra lời khuyên dựa trên thói quen sử dụng của người dùng trên trang web ",,,,,,,,,,,,,
My Sporty Mates,"App dành cho người trẻ đến trung niên nhằm kết bạn, giao lưu về cuộc sống tích cực, chia sẻ các hoạt động thể chất, tinh thần giúp giải tỏa áp lực sức khỏe và tâm lý ",,,,,,,,,,,,,
Fabric Life,Tái chế quần áo không sử dụng thành các sản phẩm khăn và thảm khách sạn ,,,,,,,,,,,,,
MindHealth,"Phần mềm Tâm lý giúp tầm soát và ứng phó với các vấn đề tâm lý của người dùng, từ đó đưa ra các hướng dẫn phù hợp ",,,,,,,,,,,,,
Textcycle,Tái chế quần áo cũ thành chất liệu cách nhiệt trong xây dựng bền vững ,,,,,,,,,,,,,
PetsCare,"App cung cấp địa chỉ các phòng khám, dịch vụ chất lượng cao dành cho những người nuôi thú cưng.",,,,,,,,,,,,,
Horison,Dự án lọc nước và làm sạch không khí bị ô nhiễm trong khu vực ,,,,,,,,,,,,,
Roppey,Dự án cung cấp sản phẩm túi xách ly nước uống cho các hệ thống take-a-way trong khu vực ,,,,,,,,,,,,,
IMPACT EC,Watch - Đồng hồ thông minh giúp theo dõi các chỉ số sức khẻo của người dùng. Tích hợp nhắc nhở các hoạt động và hướng dẫn cách sơ cấp cứu cho bản thân người dùng trong tình huống nguy cấp. Tự động liên hệ cứu hộ cứu nạn thông qua biến chuyển của các chỉ số sinh học của người dùng ,,,,,,,,,,,,,
The Precious me ,"App bảo vệ người trẻ, học sinh, sinh viên khỏi các tình huống nguy hiểm. Hạn chế các trường hợp mất tích và tai nạn thông qua việc cảnh báo tuyến đường và cung cấp định vị người dùng  ",,,,,,,,,,,,,
Wild Heart,"Dự án ""về nguồn"" dành cho những cá nhan muốn đắm mình vào thiên nhiên thông qua hoạt động kết nối cộng đồng, chia sẻ địa điểm và hoạt động thể chất đi đôi với việc tiếp cận với thiên nhiên trong quá trình thực hiện ",,,,,,,,,,,,,
FoodIN,"Dự án app đặt thức ăn đi đôi với các yêu cầu thân thiện với môi trường, nhằm thiết lập thói quen sống xanh ở nội bộ người dân trong khu vực ",,,,,,,,,,,,,
NeWe,"App đặt thức ăn dành cho khách hàng mong muốn thay đổi thực đơn. Hướng đến lối sống lành mạnh, cân bằng ẩm thực và nâng cao sức khẻo cộng đồng ",,,,,,,,,,,,,
Beautiful Nature Home,"Thiết kế không gian xanh cho ngôi nhà, không gian trồng hoa, rau, trang trí nội ngoại thất",,,,,,,,,,,,,
"Phát triển sản phẩm Trà Thảo mộc, hỗ trợ sức khỏe từ lá sake",,,,,,,,,,,,,,
Nghiên cứu sản xuất dấm tre và bột lá Neem để ứng dụng bảo quản trái xoài sau thu hoạch,,,,,,,,,,,,,,
Cao chiết dược liệu hỗ trợ điều trị hậu Covid - 19,,,,,,,,,,,,,,
Phát triển sản phẩm bánh dinh dưỡng từ trái Thanh Long,,,,,,,,,,,,,,
Nghiên cứu sản xuất giấy gói thực phẩm từ phế phụ phẩm nông nghiệp sau thu hoạch,,,,,,,,,,,,,,
"Chiết xuất và tinh ché dầu tía tô, dầu diếp cá, sữa hạt bí đao, hoa đào và bã giấm ứng dụn sản xuất kem dưỡng da tự nhiên",,,,,,,,,,,,,,
Trà lá vối dạng túi lọc,,,,,,,,,,,,,,
Nghiên cứu sản xuất túi xách và phân hữu cơ sinh học từ thân cây chuối sau thu hoạch,,,,,,,,,,,,,,
Vườn đứng (Vertical Garden),,,,,,,,,,,,,,
TRUYỀN THÔNG TRONG METAVERSE,Xây dựng giải pháp truyền thông thông qua sản phẩm nghệ thuật trên nền tảng Metaverse và Web3 dành cho các doanh nghiệp.,,,,,,,,,,,,,
HappyMind - Ứng dụng di động tích hợp trí tuệ nhân tạo hỗ trợ tham vấn và điều trị sức khỏe tâm lý cộng động.,,,,,,,,,,,,,,
VLElearning,"Xây dựng Website các khóa học Online được thu phí để mang nguồn thu về cho Nhà trường và giảng viên, đáp ứng loại hình học tập phù hợp trong giai đoạn dịch bệnh",,,,,,,,,,,,,
KPI Evaluation,Xây dựng Website đánh giá KPI của CBGVNV ở các Đơn vị,,,,,,,,,,,,,
VLU Check App,Xây dựng ứng dụng điểm danh sinh viên Văn Lang,,,,,,,,,,,,,
Van Lang Go,"VangLangGO  (Web App)
Xây dựng Ứng Dụng Quản Lý và Giao hàng của Các Quán Ăn Cửa Hàng Xung Quanh Trường Văn Lang",,,,,,,,,,,,,
VLEdu,Xây dựng ứng dụng điện thoại Số tay điện tử Văn Lang cho phụ huynh và sinh viên trường Văn Lang theo dõi và giám sát quá trình học tập và thông báo khẩn cấp nếu có,,,,,,,,,,,,,
